TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
M,48,157,55,169,0,0,1
PENDER,58,157,95,169,0,0,1
AUTOMATION,98,157,158,169,0,0,1
&,160,157,166,169,0,0,1
CONTROL,169,157,213,169,0,0,1
LTD,215,157,232,169,0,0,1
KILLERIG,48,171,88,183,1,0,1
CARLOW,48,185,87,197,2,0,1
CO,48,199,61,211,3,0,1
CARLOW,64,199,103,211,3,0,1
Kilkenny,280,58,326,73,4,0,1
"Road,",329,58,360,73,4,0,1
"Milford,",363,58,402,73,4,0,1
Co.,405,58,423,73,4,0,1
Carlow,426,58,463,73,4,0,1
Tel:,280,71,300,86,4,1,1
059,303,71,321,86,4,1,1
9146138,324,71,367,86,4,1,1
Tel,280,84,296,99,4,2,1
Accounts:,299,84,353,99,4,2,1
059,356,84,374,99,4,2,1
9146582,377,84,420,99,4,2,1
Web:,280,97,307,112,4,3,1
www.carlowengineering.com,310,97,462,112,4,3,1
Email:,280,111,313,126,4,4,1
info@carlowengineering.com,316,111,470,126,4,4,1
VAT,280,124,302,139,4,5,1
No.,305,124,323,139,4,5,1
IE,329,124,339,139,4,5,1
3282806B,343,124,393,139,4,5,1
Suppliers,265,186,303,198,5,0,1
of,305,186,313,198,5,0,1
Power,315,186,341,198,5,0,1
"Tools,",343,186,368,198,5,0,1
"Compressors,",370,186,426,198,5,0,1
Power,429,186,454,198,5,0,1
"Washers,",457,186,495,198,5,0,1
"Welders,",497,186,533,198,5,0,1
"Greasers,",249,197,288,209,6,0,1
Castor,291,197,317,209,6,0,1
"Wheels,",320,197,352,209,6,0,1
"Detergents,",355,197,401,209,6,0,1
Safety,404,197,429,209,6,0,1
"Equipment,",432,197,477,209,6,0,1
Industrial,480,197,517,209,6,0,1
"Hosing,",519,197,550,209,6,0,1
Drill,268,208,283,220,7,0,1
"Bits,",286,208,303,220,7,0,1
"Taps,",306,208,328,220,7,0,1
"Dies,",331,208,351,220,7,0,1
H/T,354,208,368,220,7,0,1
"Bolts,",371,208,393,220,7,0,1
GB/HYD,396,208,430,220,7,0,1
Fittings,433,208,462,220,7,0,1
&,464,208,470,220,7,0,1
Threaded,473,208,511,220,7,0,1
Bar.,514,208,530,220,7,0,1
Service,266,223,301,236,8,0,1
Specialists,304,223,356,236,8,0,1
for,359,223,372,236,8,0,1
Power,375,223,405,236,8,0,1
Washers,408,223,450,236,8,0,1
&,453,223,460,236,8,0,1
Compressors,463,223,527,236,8,0,1
CARLOW,209,28,286,52,9,0,1
ENGINEERING,291,28,410,52,9,0,1
SUPPLIERS,414,28,511,52,9,0,1
LTD.,515,28,553,52,9,0,1
SALES,363,153,395,166,10,0,1
INVOICE,398,153,439,166,10,0,1
Business,134,247,179,261,11,0,1
Hours,181,247,210,261,11,0,1
8am-5.15pm,213,247,271,261,11,0,1
Monday,274,247,311,261,11,0,1
to,314,247,324,261,11,0,1
"Friday,",326,247,359,261,11,0,1
closed,362,247,394,261,11,0,1
1-2pm,397,247,426,261,11,0,1
for,429,247,442,261,11,0,1
lunch.,445,247,474,261,11,0,1
DATE,51,276,75,288,12,0,1
INVOICE,124,276,161,288,12,1,1
NO.,164,276,180,288,12,1,1
ORDER,215,276,247,288,12,2,1
NO.,250,276,266,288,12,2,1
A/C,326,276,341,288,12,3,1
NO.,344,276,360,288,12,3,1
OPERATOR,391,276,442,288,12,4,1
31/03/2022,42,298,87,311,13,0,1
K037,326,298,347,311,13,1,1
COUNTER1,391,298,440,311,13,2,1
MP,215,298,228,311,13,3,1
1182,231,298,251,311,13,3,1
PAGE,527,276,552,288,14,0,1
1,524,298,529,311,15,0,1
SIN120039,124,298,169,311,15,1,1
Quantity,40,332,73,345,16,0,1
Description,79,332,124,345,16,0,1
Unit,360,332,376,345,16,1,1
Price,379,332,399,345,16,1,1
Discount,410,332,445,345,16,1,1
Total,501,332,521,345,16,2,1
Code,527,332,549,345,16,2,1
7.00,53,347,71,359,17,0,1
KQ2R10-12A,79,347,132,359,17,0,1
10mm,135,347,160,359,17,0,1
X,162,347,168,359,17,0,1
12mm,171,347,196,359,17,0,1
STEM,198,347,223,359,17,0,1
REDUCER,226,347,270,359,17,0,1
4.36,379,347,397,359,17,1,1
30.52,496,347,519,359,17,2,1
S,535,347,541,359,17,3,1
37.54,524,715,547,728,18,0,1
VAT,231,673,249,685,19,0,1
0.00,150,713,167,725,20,0,1
30.52,145,693,167,705,21,0,1
30.52,524,676,547,688,22,0,1
7.02,529,696,547,708,23,0,1
Net,412,676,426,688,24,0,1
Total,429,676,450,688,24,0,1
VAT,408,696,426,708,25,0,1
Total,429,696,450,708,25,0,1
Total,429,715,450,728,26,0,1
Rate,68,673,87,685,27,0,1
Goods,136,673,164,685,27,1,1
23.0%,68,693,93,705,28,0,1
13.5%,68,713,93,725,29,0,1
Zero,68,732,87,745,30,0,1
7.02,232,693,249,705,31,0,1
0.00,232,713,249,725,32,0,1
0.00,232,732,249,745,33,0,1
Code,36,673,59,685,34,0,1
S,46,693,52,705,35,0,1
1,47,713,52,725,36,0,1
Z,46,732,52,745,37,0,1
0.00,150,732,167,745,37,1,1
EUR,473,676,488,685,38,0,1
EUR,473,716,488,725,39,0,1
EUR,473,696,488,705,40,0,1
POWERED,292,673,339,686,41,0,1
BY,341,673,353,686,41,0,1
Exchequer,301,684,344,697,42,0,1
www.exchequer.ie,286,695,359,707,43,0,1
TERMS:,34,764,68,777,44,0,1
Strictly,70,764,97,777,44,0,1
30,100,764,110,777,44,0,1
days.,112,764,134,777,44,0,1
E,136,764,142,777,44,0,1
&,145,764,151,777,44,0,1
OE.,153,764,169,777,44,0,1
Interest,34,775,64,787,44,1,1
will,66,775,79,787,44,1,1
be,81,775,91,787,44,1,1
charged,94,775,126,787,44,1,1
accordingly,129,775,174,787,44,1,1
as,177,775,186,787,44,1,1
per,189,775,202,787,44,1,1
Government,204,775,254,787,44,1,1
Regulations.,256,775,306,787,44,1,1
Goods,34,786,60,798,44,2,1
remain,63,786,90,798,44,2,1
the,93,786,105,798,44,2,1
property,108,786,141,798,44,2,1
of,143,786,151,798,44,2,1
Carlow,153,786,181,798,44,2,1
Engineering,184,786,232,798,44,2,1
Suppliers,234,786,272,798,44,2,1
Ltd,274,786,287,798,44,2,1
until,34,797,50,809,44,3,1
payment,53,797,87,809,44,3,1
in,90,797,97,809,44,3,1
full,99,797,111,809,44,3,1
is,113,797,120,809,44,3,1
received.,122,797,159,809,44,3,1
A/C,331,764,346,777,45,0,1
Name:,349,764,375,777,45,0,1
Carlow,378,764,406,777,45,0,1
Engineering,408,764,456,777,45,0,1
Suppliers,459,764,496,777,45,0,1
Ltd,499,764,511,777,45,0,1
Bank:,331,775,354,787,45,1,1
Bank,357,775,377,787,45,1,1
of,380,775,387,787,45,1,1
"Ireland,",390,775,420,787,45,1,1
Carlow,422,775,450,787,45,1,1
BIC:,331,786,349,798,45,2,1
BOFIIE2D,351,786,392,798,45,2,1
Iban:,397,786,417,798,45,2,1
IE55BOFI90653145476926,420,786,529,798,45,2,1
Bank,331,797,352,809,45,3,1
A/C,354,797,369,809,45,3,1
No.,372,797,386,809,45,3,1
45476926,388,797,428,809,45,3,1
