TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
J&J,194,27,238,54,0,0,1
Services,245,27,343,54,0,0,1
Ltd.,350,27,394,54,0,0,1
Carlow,266,52,296,63,1,0,1
Road,299,52,322,63,1,0,1
Tullow,280,65,308,76,2,0,1
Vat,454,72,468,83,2,1,1
No.,471,72,486,83,2,1,1
IE,489,72,498,83,2,1,1
6560084,501,72,539,83,2,1,1
M,541,72,550,83,2,1,1
Co.,270,77,285,88,2,2,1
Carlow,288,77,318,88,2,2,1
Ph:,256,90,270,101,3,0,1
059,273,90,289,101,3,0,1
91,292,90,303,101,3,0,1
51877,306,90,333,101,3,0,1
Sales,439,100,492,123,4,0,1
Invoice,498,100,567,123,4,0,1
Fax:,254,102,272,113,4,1,1
059,275,102,291,113,4,1,1
91,294,102,305,113,4,1,1
51742,308,102,335,113,4,1,1
email:,213,115,239,126,5,0,1
jandjservicesaccts@gmail.com,242,115,375,126,5,0,1
web:,249,127,270,138,6,0,1
jandjservices.ie,272,127,339,138,6,0,1
Page:,445,146,471,157,7,0,1
Invoice,56,145,89,155,7,1,1
To,92,145,104,155,7,1,1
Deliver,252,145,284,156,7,2,1
To,287,145,299,156,7,2,1
Matt,56,166,75,176,8,0,1
Pender,77,166,108,176,8,0,1
Automataion,110,166,165,176,8,0,1
Control,168,166,200,176,8,0,1
"Ltd.,",56,176,75,186,8,1,1
Invoice,445,166,478,177,9,0,1
No:,480,166,497,177,9,0,1
JI498708,525,166,565,177,9,1,1
Matt,252,166,270,176,9,2,1
Pender,273,166,304,176,9,2,1
Automataion,306,166,361,176,9,2,1
Control,364,166,396,176,9,2,1
"Ltd.,",252,177,271,187,9,3,1
Ouragh,56,188,88,198,10,0,1
"Cross,",91,188,119,198,10,0,1
Ouragh,252,188,284,198,10,1,1
"Cross,",286,188,314,198,10,1,1
Account,445,186,483,197,10,2,1
No:,486,186,502,197,10,2,1
PEN04,534,186,565,197,10,3,1
"Tullow,",56,203,87,213,11,0,1
"Tullow,",252,203,283,213,11,1,1
Date:,445,206,469,217,11,2,1
20/01/21,527,206,565,217,11,3,1
Co.,56,218,70,228,12,0,1
Carlow.,73,218,106,228,12,0,1
Co.,252,218,266,228,12,1,1
Carlow.,269,218,302,228,12,1,1
Order,445,226,471,237,13,0,1
No:,474,226,490,237,13,0,1
RB616,535,226,565,237,13,1,1
Operator:,445,246,489,257,14,0,1
ED,524,246,538,257,14,1,1
12:26,540,246,565,257,14,1,1
Part,43,279,61,289,15,0,1
No,63,279,75,289,15,0,1
Qty,379,278,394,288,15,1,1
RRP,413,278,432,288,15,2,1
Nett,465,276,482,286,15,3,1
Ext,512,276,525,286,15,4,1
VC,544,276,556,286,15,5,1
Description,136,279,186,289,15,6,1
A,41,298,47,308,16,0,1
BLACK,50,298,79,308,16,0,1
SATI,82,298,102,308,16,0,1
Promatci,137,298,173,308,16,1,1
Satin,175,298,196,308,16,1,1
Black,198,298,221,308,16,1,1
500ml,223,298,248,308,16,1,1
4,388,298,393,308,16,2,1
4.96,418,298,435,308,16,3,1
4.96,464,298,482,308,16,4,1
19.84,504,299,527,309,16,5,1
1,550,298,555,308,16,6,1
A,41,315,47,325,17,0,1
GREY,50,315,75,325,17,0,1
PRIME,77,315,106,325,17,0,1
Standard,137,315,174,325,17,1,1
Grey,176,315,196,325,17,1,1
Primer,198,315,225,325,17,1,1
6,388,315,393,325,17,2,1
4.96,418,315,435,325,17,3,1
4.96,464,315,482,325,17,4,1
29.76,504,315,527,325,17,5,1
1,550,315,555,325,17,6,1
***JASIC,39,684,109,701,18,0,1
Welders,114,684,171,701,18,0,1
Now,176,684,207,701,18,0,1
in,212,684,225,701,18,0,1
Stock***,230,684,298,701,18,0,1
Code,45,708,68,718,19,0,1
Vat%,75,708,102,718,19,1,1
Goods,136,708,165,718,19,2,1
V.A.T.,183,708,211,718,19,3,1
Goods,440,717,475,730,20,0,1
€49.60,515,717,552,730,20,1,1
1,45,726,50,737,21,0,1
21.00,76,726,103,737,21,1,1
49.60,139,726,165,737,21,2,1
10.42,185,726,211,737,21,3,1
V.A.T,440,738,470,751,22,0,1
€10.42,515,738,552,751,22,1,1
Signed,231,754,264,765,23,0,1
Total,440,759,467,773,23,1,1
€60.02,515,759,552,773,23,2,1
BANK,140,791,166,802,24,0,1
DETAILS,169,791,208,802,24,0,1
:,211,791,215,802,24,0,1
IBAN,218,791,241,802,24,0,1
IE09BOFI,250,791,293,802,24,0,1
90668918047712,296,791,377,802,24,0,1
-,380,791,384,802,24,0,1
BIC,387,791,403,802,24,0,1
BOFIIE2D,413,791,457,802,24,0,1
1,539,148,544,159,25,0,1
of,547,148,555,159,25,0,1
1,558,148,563,159,25,0,1
