TEXT,X1,Y1,X2,Y2,block_no,line_no
______________________________________________________________________________________________________,50,445,560,459,0,0
Item,50,463,70,477,1,0
Material,115,463,152,477,1,1
Description,178,463,230,477,1,2
Qty,189,475,205,489,2,0
Price/piece,241,475,291,489,2,1
Value/EUR,506,475,555,489,2,2
______________________________________________________________________________________________________,50,481,560,495,2,3
000010,50,499,87,513,3,0
313825,115,499,152,513,3,1
GT2507-WTSD,178,499,251,513,3,2
"GOT2000;7""wideTFT;DC;WVGA;65k",178,515,284,523,4,0
colors;RS-422/485;RS-232;USB;Eth;SD;Silver,287,515,417,523,4,0
1,199,523,205,537,5,0
PC,220,523,233,537,5,1
"1,340.00",262,523,306,537,5,1
EUR,312,523,332,537,5,1
1,353,523,359,537,5,1
PC,365,523,378,537,5,1
"1,340.00",509,523,553,537,5,2
Discount,50,535,90,549,6,0
21.57-,264,535,296,549,6,1
%,305,535,314,549,6,2
289.04-,524,535,562,549,6,4
Net,50,547,65,561,7,0
value,71,547,96,561,7,0
1,101,547,106,561,7,0
"1,050.96",248,547,292,561,7,1
EUR,305,547,325,561,7,2
1,412,547,418,561,7,3
PC,452,547,465,561,7,4
"1,050.96",515,547,558,561,7,5
Commodity,149,559,202,573,8,0
Code:,207,559,234,573,8,0
85371091,305,559,355,573,8,1
Country,149,571,186,585,9,0
of,191,571,200,585,9,0
origin:,206,571,234,585,9,0
Japan,305,571,333,585,9,1
000020,50,583,87,597,10,0
316588,115,583,152,597,10,1
FR-E740-170SC-ENE,178,583,277,597,10,2
Inverter;,178,599,202,607,11,0
Rated,205,599,221,607,11,0
Power:,224,599,243,607,11,0
"7,5kW;",246,599,267,607,11,0
3x380-480V;,270,599,308,607,11,0
Rated,311,599,327,607,11,0
Current:,330,599,353,607,11,0
17A@50°C;,356,599,389,607,11,0
IP20,392,599,404,607,11,0
1,199,607,205,621,12,0
PC,220,607,233,621,12,1
998.82,272,607,306,621,12,1
EUR,312,607,332,621,12,1
1,353,607,359,621,12,1
PC,365,607,378,621,12,1
998.82,518,607,553,621,12,2
Discount,50,619,90,633,13,0
44.44-,264,619,296,633,13,1
%,305,619,314,633,13,2
443.88-,524,619,562,633,13,4
Net,50,631,65,645,14,0
value,71,631,96,645,14,0
1,101,631,106,645,14,0
554.94,258,631,292,645,14,1
EUR,305,631,325,645,14,2
1,412,631,418,645,14,3
PC,452,631,465,645,14,4
554.94,524,631,558,645,14,5
Commodity,149,643,202,657,15,0
Code:,207,643,234,657,15,0
85044090,305,643,355,657,15,1
Country,149,655,186,669,16,0
of,191,655,200,669,16,0
origin:,206,655,234,669,16,0
Japan,305,655,333,669,16,1
000030,50,667,87,681,17,0
280505,115,667,152,681,17,1
FX5-16EX/ES,178,667,242,681,17,2
FX5;I/O,178,683,200,691,18,0
Extension;16,203,683,239,691,18,0
Inputs,243,683,260,691,18,0
1,199,691,205,705,19,0
PC,220,691,233,705,19,1
114.30,272,691,306,705,19,1
EUR,312,691,332,705,19,1
1,353,691,359,705,19,1
PC,365,691,378,705,19,1
114.30,518,691,553,705,19,2
Commodity,149,703,202,717,20,0
Code:,207,703,234,717,20,0
85389099,305,703,355,717,20,1
Country,149,715,186,729,21,0
of,191,715,200,729,21,0
origin:,206,715,234,729,21,0
Japan,305,715,333,729,21,1
MITSUBISHI,50,155,84,163,22,0
ELECTRIC,87,155,115,163,22,0
EUROPE,118,155,142,163,22,0
·,145,155,146,163,22,0
Postfach,150,155,174,163,22,0
1548,177,155,192,163,22,0
·,195,155,197,163,22,0
40835,200,155,219,163,22,0
Ratingen,222,155,246,163,22,0
__________________________________,50,156,295,171,22,1
MATT,50,175,79,189,23,0
PENDER,84,175,123,189,23,0
AUTOMATION,127,175,196,189,23,0
AND,50,187,72,201,23,1
CONTROL,77,187,124,201,23,1
LTD.,129,187,151,201,23,1
KILLERIG,50,199,93,213,23,2
CO.CARLOW,97,199,159,213,23,2
KILLERIG,50,211,93,225,23,3
.,50,223,53,237,23,4
IRELAND,50,235,92,249,23,5
Branch,50,751,69,760,24,0
of,72,751,77,760,24,0
Mitsubishi,81,751,109,760,24,0
Electric,112,751,132,760,24,0
Europe,135,751,155,760,24,0
B.V.,157,751,169,760,24,0
Managing,50,758,77,767,24,1
Director,80,758,102,767,24,1
and,105,758,115,767,24,1
Permanent,118,758,147,767,24,1
Representative,151,758,192,767,24,1
of,50,766,55,774,24,2
the,59,766,68,774,24,2
Branch:,70,766,91,774,24,2
Andreas,95,766,118,774,24,2
Wagner,121,766,142,774,24,2
MUFG,285,766,303,774,24,3
Bank,306,766,319,774,24,3
(Europe),322,766,346,774,24,3
"N.V.,",349,766,363,774,24,3
Düsseldorf,366,766,395,774,24,3
BIC:,285,773,297,781,24,4
BOTKDEDX,300,773,332,781,24,4
IBAN:,341,773,357,781,24,4
DE02,361,773,376,781,24,4
3001,379,773,394,781,24,4
0700,397,773,412,781,24,4
0000,416,773,430,781,24,4
0182,434,773,448,781,24,4
34,452,773,459,781,24,4
Registered,50,780,79,788,25,0
in,82,780,87,788,25,0
the,90,780,99,788,25,0
Netherlands:,102,780,137,788,25,0
"Amsterdam,",140,780,174,788,25,0
Nr.,177,780,185,788,25,0
33279602,188,780,218,788,25,0
Deutsche,285,780,311,788,25,1
"Bank,",314,780,330,788,25,1
Düsseldorf,333,780,362,788,25,1
Reg.office,50,787,78,795,26,0
of,81,787,86,795,26,0
the,90,787,99,795,26,0
branch:,102,787,122,795,26,0
Mitsubishi-Electric-Platz,126,787,192,795,26,0
"1,",194,787,200,795,26,0
40882,203,787,222,795,26,0
Ratingen,225,787,249,795,26,0
BIC:,285,787,297,795,26,1
DEUTDEDD,300,787,332,795,26,1
IBAN:,341,787,357,795,26,1
DE42,361,787,375,795,26,1
3007,379,787,394,795,26,1
0010,397,787,412,795,26,1
0301,415,787,430,795,26,1
1004,433,787,448,795,26,1
00,452,787,459,795,26,1
Comm.Register,50,794,92,802,27,0
Düsseldorf,96,794,125,802,27,0
HRB,128,794,140,802,27,0
43766,143,794,162,802,27,0
"Commerzbank,",285,794,326,802,27,1
Düsseldorf,330,794,359,802,27,1
WEEE-Reg.-Nr.,50,801,91,809,28,0
DE,94,801,103,809,28,0
92841400,105,801,135,809,28,0
BIC:,285,801,297,809,28,1
DRESDEFF300,300,801,341,809,28,1
IBAN:,350,801,366,809,28,1
DE79,370,801,384,809,28,1
3008,388,801,403,809,28,1
0000,406,801,421,809,28,1
0310,424,801,439,809,28,1
0200,442,801,457,809,28,1
00,461,801,468,809,28,1
MITSUBISHI,50,100,96,111,29,0
ELECTRIC,100,100,137,111,29,0
EUROPE,141,100,173,111,29,0
Mitsubishi-Electric-Platz,50,110,138,121,29,1
1,142,110,146,121,29,1
40882,155,110,180,121,29,1
