TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
Requirements,14,341,76,355,0,0,1
Currency,448,341,489,355,0,1,1
EUR,496,341,518,356,0,1,1
Terms,14,353,50,368,1,0,1
of,57,353,71,368,1,0,1
payment,78,353,129,368,1,0,1
Up,158,353,172,368,1,0,1
to,179,353,194,368,1,0,1
31.01.2022,201,353,273,368,1,0,1
without,280,353,331,368,1,0,1
deduction,338,353,403,368,1,0,1
_________________________________________________________________________,14,395,539,410,2,0,1
Item,14,412,29,423,3,0,1
Material,42,412,71,423,3,1,1
Description,127,412,167,423,3,2,1
Qty,285,412,297,423,3,3,1
Unit,303,412,317,423,3,3,1
Weight(KGs),331,412,377,423,3,4,1
Price,401,412,419,423,3,5,1
Price,436,412,454,423,3,6,1
Unit,456,412,471,423,3,6,1
Total,495,412,513,423,3,7,1
_________________________________________________________________________,14,416,539,431,3,8,1
0010,14,439,31,450,4,0,1
HSR050252576,42,439,99,450,4,1,1
50,127,439,136,450,4,2,1
X,138,439,144,450,4,2,1
25,146,439,155,450,4,2,1
X,157,439,162,450,4,2,1
2.5,164,439,176,450,4,2,1
HOL,180,439,196,450,4,2,1
SECT,199,439,220,450,4,2,1
7.,227,439,233,450,4,2,1
4.0,284,439,295,450,4,3,1
AT,303,439,313,450,4,4,1
82,357,439,366,450,4,5,1
26.90,403,439,423,450,4,6,1
AT,439,439,449,450,4,7,1
107.60,492,439,516,450,4,8,1
0020,14,448,31,459,5,0,1
ANG02503,42,448,82,459,5,1,1
25,127,448,136,459,5,2,1
X,138,448,144,459,5,2,1
25,148,448,157,459,5,2,1
X,159,448,164,459,5,2,1
03,167,448,176,459,5,2,1
ANGLE,178,448,205,459,5,2,1
6/6.3M,207,448,231,459,5,2,1
2.0,284,448,295,459,5,3,1
AT,303,448,313,459,5,4,1
14,357,448,366,459,5,5,1
8.40,407,448,423,459,5,6,1
AT,439,448,449,459,5,7,1
16.80,496,448,516,459,5,8,1
0030,14,457,31,468,6,0,1
PLL02250125,42,457,92,468,6,1,1
2500,127,457,145,468,6,2,1
X,147,457,152,468,6,2,1
1250,155,457,172,468,6,2,1
X,175,457,180,468,6,2,1
2.0,182,457,193,468,6,2,1
H.R.,200,457,216,468,6,2,1
PLA,218,457,233,468,6,2,1
4.0,284,457,295,468,6,3,1
AT,303,457,313,468,6,4,1
196,352,457,365,468,6,5,1
71.15,403,457,423,468,6,6,1
AT,439,457,449,468,6,7,1
284.60,492,457,516,468,6,8,1
_________________________________________________________________________,14,461,539,476,6,9,1
Total,14,479,50,494,6,10,1
Items,57,479,93,494,6,10,1
409.00,475,479,518,494,6,11,1
Nett,14,491,43,506,7,0,1
Amount,50,491,93,506,7,0,1
409.00,475,491,518,506,7,2,1
Output,14,503,57,518,8,0,1
Tax,64,503,86,518,8,0,1
23.000,172,503,215,518,8,1,1
%,230,503,237,518,8,1,1
409.00,374,503,417,518,8,2,1
94.07,482,503,518,518,8,2,1
Final,14,514,50,531,9,0,1
Amount,57,514,100,531,9,0,1
503.07,475,514,518,531,9,1,1
MATT,56,128,85,143,10,0,1
PENDER,92,128,135,143,10,0,1
AUTOMATION,143,128,215,143,10,0,1
AND,222,128,243,143,10,0,1
CONTROL,251,128,301,143,10,0,1
OURAGH,56,140,99,155,10,1,1
TULLOW,56,152,99,167,10,2,1
CO,56,164,71,179,10,3,1
CARLOW,78,164,121,179,10,3,1
The,56,780,78,795,11,0,1
Above,85,780,121,795,11,0,1
is,128,780,143,795,11,0,1
subject,150,780,200,795,11,0,1
to,207,780,222,795,11,0,1
the,229,780,251,795,11,0,1
Standard,258,780,315,795,11,0,1
Terms,323,780,359,795,11,0,1
and,366,780,387,795,11,0,1
Conditions,395,780,467,795,11,0,1
of,474,780,488,795,11,0,1
Sale,495,780,524,795,11,0,1
Which,56,792,92,807,11,1,1
are,99,792,121,807,11,1,1
available,128,792,193,807,11,1,1
on,200,792,215,807,11,1,1
the,222,792,243,807,11,1,1
Company,251,792,301,807,11,1,1
Website.,308,792,366,807,11,1,1
Coolrain,297,12,354,27,12,0,1
Carlow.,297,24,347,39,12,1,1
V.A.T.,383,24,426,39,12,1,1
IE4632321G,433,24,505,39,12,1,1
Tel:,297,48,325,63,13,0,1
+353,333,48,361,63,13,0,1
59,369,48,383,63,13,0,1
9147716,390,48,441,63,13,0,1
Fax:,297,60,325,75,13,1,1
+353,333,60,361,75,13,1,1
59,369,60,383,75,13,1,1
9147618,390,60,441,75,13,1,1
Email:,297,72,340,87,13,2,1
info@sbsteel.net,347,72,462,87,13,2,1
Invoice,311,124,360,143,14,0,1
Number/Date,311,155,359,166,15,0,1
91241464,311,164,369,179,15,1,1
/,376,164,383,179,15,1,1
17.11.2021,391,164,463,179,15,1,1
Your,311,179,328,190,15,2,1
Reference,330,179,367,190,15,2,1
no./Date,370,179,400,190,15,2,1
38824,311,188,347,203,15,3,1
/,355,188,362,203,15,3,1
16.11.2021,369,188,441,203,15,3,1
Delivery,311,203,340,214,15,4,1
note,342,203,358,214,15,4,1
no./Date,360,203,390,214,15,4,1
81285025,311,212,369,227,15,5,1
/,376,212,383,227,15,5,1
18.11.2021,391,212,463,227,15,5,1
Our,311,227,325,238,15,6,1
Order,327,227,347,238,15,6,1
number/Date,350,227,396,238,15,6,1
1157696,311,236,362,251,15,7,1
/,369,236,376,251,15,7,1
17.11.2021,383,236,455,251,15,7,1
Customer,311,251,346,262,15,8,1
number,348,251,375,262,15,8,1
SBPEM01,311,260,362,275,15,9,1
Delivery,311,275,340,286,15,10,1
Number,342,275,371,286,15,10,1
81285025,311,284,369,299,15,11,1
