TEXT,X1,Y1,X2,Y2,block_no,line_no
BPX,149,10,163,20,0,0
Electromechanical,165,10,222,20,0,0
Ltd.,224,10,236,20,0,0
t/a,238,10,245,20,0,0
BPX,247,10,262,20,0,0
Ireland,264,10,287,20,0,0
Registered,149,19,183,28,0,1
Dublin,185,19,205,28,0,1
598929,206,19,230,28,0,1
Reg.,149,27,164,37,0,2
Office:,166,27,186,37,0,2
Clanwilliam,188,27,223,37,0,2
"Ct,",225,27,234,37,0,2
Dublin,236,27,256,37,0,2
2,258,27,262,37,0,2
VAT,149,36,162,45,0,3
Registration,164,36,202,45,0,3
Number,204,36,229,45,0,3
3460127WH,231,36,269,45,0,3
website:,149,44,175,54,0,4
www.bpxireland.ie,177,44,238,54,0,4
DOCUMENT,345,15,397,27,1,0
TYPE,399,15,423,27,1,0
DOCUMENT,478,15,530,27,1,1
REFERENCE,532,15,588,27,1,1
Invoice,365,30,403,45,2,0
I0864363,510,30,556,45,2,1
InvoiceDate:,644,12,697,24,3,0
08/03/22,737,12,772,24,3,1
Branch:,644,26,678,38,4,0
N/A,737,26,752,38,4,1
Pages:,644,40,673,52,5,0
1,737,40,742,52,5,1
of,745,40,752,52,5,1
1,755,40,760,52,5,1
Customer,17,58,59,71,6,0
Acc,61,58,78,71,6,0
Ref:,80,58,98,71,6,0
0000055010,135,58,185,71,6,1
Customer,224,58,266,71,6,2
Ref:,269,58,286,71,6,2
MP1077,293,58,326,71,6,2
Advice,431,58,461,71,6,3
Note,463,58,483,71,6,3
No:,486,58,501,71,6,3
E0006244/,543,58,587,71,6,4
12,589,58,599,71,6,4
Despatch,644,58,684,71,6,5
Date:,687,58,709,71,6,5
04/03/22,737,58,772,71,6,6
Invoice,17,78,48,91,7,0
Address:,50,78,89,91,7,0
Matt,17,92,34,104,8,0
Pender,37,92,66,104,8,0
Automation,68,92,114,104,8,0
&,116,92,122,104,8,0
Controls,125,92,158,104,8,0
Ltd.,161,92,176,104,8,0
"Ouragh,",17,105,49,118,9,0
"Tullow,",17,119,45,131,10,0
Carlow,17,133,45,145,11,0
Ireland,17,146,44,159,12,0
R93,17,160,33,172,13,0
EV90,36,160,58,172,13,0
