TEXT,X1,Y1,X2,Y2,block_no,line_no
INVOICE,488,20,559,42,0,0
DEMESNE,19,21,78,38,0,1
ELECTRICAL,81,21,156,38,0,1
SALES,159,21,197,38,0,1
LTD,200,21,224,38,0,1
THE,19,37,34,48,0,2
SQUARE,36,37,66,48,0,2
INDUSTRIAL,68,37,113,48,0,2
COMPLEX,116,37,150,48,0,2
TALLAGHT,19,48,57,59,0,3
DUBLIN,19,58,47,69,0,4
24,49,58,58,69,0,4
Phone,20,87,42,98,1,0
Fax,19,99,31,110,1,1
01-4047700,77,87,120,98,2,0
01-4047777,77,99,120,110,2,1
Invoice,20,138,50,149,3,0
To,52,138,62,149,3,0
Matt,65,154,80,165,4,0
Pender,83,154,107,165,4,0
Automation,110,154,150,165,4,0
&,153,154,158,165,4,0
Controls,161,154,190,165,4,0
Ltd,192,154,203,165,4,0
R93EV90,65,165,96,176,4,1
Ouragh,65,175,91,186,4,2
Tullow,65,186,88,197,4,3
Co.,65,196,76,207,4,4
Carlow,79,196,103,207,4,4
Deliver,29,231,57,242,5,0
To,60,231,70,242,5,0
R93EV90,28,246,60,257,6,0
Order,380,144,403,155,7,0
Number,405,144,437,155,7,0
Delivery,380,239,413,250,8,0
Date,415,239,434,250,8,0
Delivery,380,253,413,264,9,0
By,415,253,426,264,9,0
SOD1186,521,144,554,155,10,0
07/04/2022,513,239,554,250,11,0
Invoice,380,95,410,106,12,0
Number,412,95,444,106,12,0
Account,380,104,412,115,12,1
Number,415,104,447,115,12,1
1112873,524,95,554,106,13,0
2692,537,104,554,115,14,0
Quantity,22,328,57,339,15,0
Part,80,329,97,340,15,1
Number,100,329,132,340,15,1
Description,187,328,233,339,15,2
Unit,405,328,422,339,15,3
Price,424,328,445,339,15,3
Amount,518,328,550,339,15,4
Products,212,75,243,86,16,0
remain,245,75,270,86,16,0
the,272,75,284,86,16,0
property,286,75,316,86,16,0
of,318,75,325,86,16,0
Demesne,328,75,361,86,16,0
Electrical,363,75,394,86,16,0
Sales,397,75,415,86,16,0
until,418,75,433,86,16,0
such,435,75,452,86,16,0
time,454,75,469,86,16,0
as,472,75,480,86,16,0
all,482,75,490,86,16,0
invoices,492,75,520,86,16,0
paid,523,75,538,86,16,0
in,540,75,546,86,16,0
full,549,75,559,86,16,0
Ouragh,28,260,54,271,17,0
Tullow,28,273,51,284,18,0
Co.,28,287,39,298,19,0
Carlow,42,287,66,298,19,0
Invoice,380,117,410,128,20,0
Date,412,117,431,128,20,0
12/04/2022,513,117,554,128,20,1
Placed,380,131,406,142,21,0
By,409,131,419,142,21,0
Sales,380,267,401,278,22,0
Order,403,267,426,278,22,0
Number,429,267,461,278,22,0
1032184,524,267,554,278,22,1
Sales,380,280,401,291,23,0
Person,403,280,431,291,23,0
Barry,501,280,519,291,23,1
O'Connor,522,280,554,291,23,1
D24,19,69,33,80,24,0
ED71,36,69,55,80,24,0
www.demesne.ie,18,119,93,133,25,0
Email,19,110,38,121,25,1
sales@demesne.ie,77,110,143,121,25,2
Your,380,158,399,169,26,0
VAT,401,158,417,169,26,0
Reg,419,158,435,169,26,0
50,46,349,55,360,27,0
3551,82,350,99,361,27,1
Baldi,188,349,205,360,27,2
Insulators,208,349,243,360,27,2
32Mm,246,349,267,360,27,2
X,270,349,274,360,27,2
35Mm,277,349,299,360,27,2
X,301,349,306,360,27,2
8Mm,188,359,206,370,27,3
3.68539,418,349,447,360,28,0
128.99,529,349,554,360,28,1
30.00%,476,349,504,360,28,2
50,46,364,55,375,29,0
3569,82,365,99,376,29,1
Insulators,188,364,224,375,29,2
32Mm,226,364,248,375,29,2
X,250,364,255,375,29,2
35Mm,258,364,279,375,29,2
X,282,364,287,375,29,2
10Mm,289,364,311,375,29,2
3.73504,418,364,447,375,29,3
130.72,529,364,554,375,29,4
30.00%,476,364,504,375,29,5
25,46,379,55,390,30,0
4054,82,380,99,391,30,1
Baldi,188,379,205,390,30,2
Insulators,208,379,243,390,30,2
41Mm,246,379,267,390,30,2
X,270,379,274,390,30,2
40Mm,277,379,299,390,30,2
X,301,379,306,390,30,2
8Mm,188,389,206,400,30,3
4.52919,418,379,447,390,31,0
79.26,534,379,554,390,31,1
30.00%,476,379,504,390,31,2
50,46,394,55,405,32,0
4062,82,395,99,406,32,1
Baldi,188,394,205,405,32,2
Insulators,208,394,243,405,32,2
41Mm,246,394,267,405,32,2
X,270,394,274,405,32,2
40Mm,277,394,299,405,32,2
X,301,394,306,405,32,2
10Mm,188,404,210,415,32,3
4.57882,418,394,447,405,33,0
160.26,529,394,554,405,33,1
30.00%,476,394,504,405,33,2
50,46,409,55,420,34,0
5069,82,410,99,421,34,1
Baldi,188,409,205,420,34,2
Insulators,208,409,243,420,34,2
36Mm,246,409,267,420,34,2
X,270,409,274,420,34,2
50Mm,277,409,299,420,34,2
X,301,409,306,420,34,2
10Mm,188,419,210,430,34,3
4.72772,418,409,447,420,35,0
165.47,529,409,554,420,35,1
30.00%,476,409,504,420,35,2
24,46,424,55,435,36,0
7560,82,425,99,436,36,1
Baldi,188,424,205,435,36,2
Insulators,208,424,243,435,36,2
50Mm,246,424,267,435,36,2
X,270,424,274,435,36,2
75Mm,277,424,299,435,36,2
X,301,424,306,435,36,2
10Mm,188,434,210,445,36,3
8.45035,418,424,447,435,37,0
141.97,529,424,554,435,37,1
30.00%,476,424,504,435,37,2
8,50,439,55,450,38,0
T1EN40X100G,82,440,133,451,38,1
Panel,188,439,208,450,38,2
Trunking,210,439,241,450,38,2
40x100,244,439,270,450,38,2
G,272,439,278,450,38,2
N/Slot,280,439,302,450,38,2
2mt,305,439,318,450,38,2
(B02582),321,439,354,450,38,2
18.17796,414,439,447,450,38,3
109.06,529,439,554,450,38,4
25.00%,476,439,504,450,38,5
18,46,454,55,465,39,0
T1EN40X60G,82,455,128,466,39,1
Panel,188,454,208,465,39,2
Trunking,210,454,241,465,39,2
40x60,244,454,265,465,39,2
G,268,454,273,465,39,2
N/Slot,276,454,298,465,39,2
2mt,300,454,314,465,39,2
(B02580),317,454,349,465,39,2
8.97722,418,454,447,465,39,3
121.19,529,454,554,465,39,4
25.00%,476,454,504,465,39,5
8,50,469,55,480,40,0
T1EN25X100G,82,470,133,481,40,1
Panel,188,469,208,480,40,2
Trunking,210,469,241,480,40,2
25x100,244,469,270,480,40,2
G,272,469,278,480,40,2
N/Slot,280,469,302,480,40,2
2mt,305,469,318,480,40,2
(B00846),321,469,354,480,40,2
14.05934,414,469,447,480,40,3
84.35,534,469,554,480,40,4
25.00%,476,469,504,480,40,5
36,46,484,55,495,41,0
T1EN25X40G,82,485,128,496,41,1
Panel,188,484,208,495,41,2
Trunking,210,484,241,495,41,2
25x40,244,484,265,495,41,2
G,268,484,273,495,41,2
N/Slot,276,484,298,495,41,2
2mt,300,484,314,495,41,2
(B02576),317,484,349,495,41,2
5.72019,418,484,447,495,41,3
154.45,529,484,554,495,41,4
25.00%,476,484,504,495,41,5
1,50,499,55,510,42,0
CARR,82,500,101,511,42,1
Carriage,188,499,218,510,42,2
Free,220,499,236,510,42,2
DPD,238,499,254,510,42,2
0.00010,418,499,447,510,42,3
0.00,538,499,554,510,42,4
Subtotal,398,735,432,746,43,0
VAT,397,755,413,766,44,0
Total,415,755,436,766,44,0
Total,397,781,417,792,45,0
"1,275.72",524,735,555,746,46,0
293.41,531,755,555,766,47,0
"1,569.13",524,781,555,792,48,0
VAT,77,713,93,724,49,0
Analysis,96,713,129,724,49,0
Rate,33,728,52,739,50,0
Net,84,728,98,739,50,1
Total,101,728,121,739,50,1
VAT,148,728,164,739,50,2
Total,166,728,187,739,50,2
23.00%,33,740,61,751,51,0
13.50%,33,751,61,762,51,1
0.00%,33,763,57,774,51,2
"1,275.72",90,740,122,751,52,0
0.00,106,751,122,762,53,0
0.00,106,763,122,774,53,1
293.41,163,740,188,751,54,0
0.00,172,751,188,762,55,0
0.00,172,763,188,774,55,1
EUR,420,781,437,792,56,0
In,211,723,220,734,57,0
Ireland:,222,723,255,734,57,0
V.A.T.,211,733,234,744,57,1
Reg.,237,733,255,744,57,1
No:,257,733,272,744,57,1
IE4808841M,274,733,326,744,57,1
WEEE,211,742,234,753,57,2
Reg.,236,742,255,753,57,2
No:,257,742,271,753,57,2
00302WB,274,742,313,753,57,2
Note:,26,789,45,800,58,0
Other,33,774,53,785,59,0
0.00,106,774,122,785,59,1
0.00,172,774,188,785,59,2
Bank,26,802,46,814,60,0
Account,48,802,81,814,60,0
:,83,802,86,814,60,0
83020698,89,802,130,814,60,0
Sort,132,802,149,814,60,0
Code:90-13-43,152,802,212,814,60,0
