,TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
0,BPX,149,10,163,20,0,0,1
1,Electromechanical,165,10,222,20,0,0,1
2,Ltd.,224,10,236,20,0,0,1
3,t/a,238,10,245,20,0,0,1
4,BPX,247,10,262,20,0,0,1
5,Ireland,264,10,287,20,0,0,1
6,Registered,149,19,183,28,0,1,1
7,Dublin,185,19,205,28,0,1,1
8,598929,206,19,230,28,0,1,1
9,Reg.,149,27,164,37,0,2,1
10,Office:,166,27,186,37,0,2,1
11,Clanwilliam,188,27,223,37,0,2,1
12,"Ct,",225,27,234,37,0,2,1
13,Dublin,236,27,256,37,0,2,1
14,2,258,27,262,37,0,2,1
15,VAT,149,36,162,45,0,3,1
16,Registration,164,36,202,45,0,3,1
17,Number,204,36,229,45,0,3,1
18,3460127WH,231,36,269,45,0,3,1
19,website:,149,44,175,54,0,4,1
20,www.bpxireland.ie,177,44,238,54,0,4,1
21,Document,374,12,413,23,1,0,1
22,Type,416,12,434,23,1,0,1
23,Document,514,12,553,23,1,1,1
24,Reference,555,12,594,23,1,1,1
25,Quotation,378,26,430,41,2,0,1
26,QE009837,527,26,580,41,2,1,1
27,Quotation,664,12,702,23,3,0,1
28,Date:,704,12,724,23,3,0,1
29,29/07/22,747,12,779,23,3,1,1
30,Sales,664,25,685,36,4,0,1
31,Engineer:,688,25,724,36,4,0,1
32,GTuffy,747,25,771,36,4,1,1
33,Pages:,664,38,691,49,5,0,1
34,1of,747,38,759,49,5,1,1
35,11,761,38,770,49,5,1,1
36,Customer,17,59,54,70,6,0,1
37,Acc,56,59,71,70,6,0,1
38,Ref:,73,59,89,70,6,0,1
39,0000055010,131,59,175,70,6,1,1
40,Customer,288,59,325,70,6,2,1
41,Ref:,327,59,343,70,6,2,1
42,MATT,410,59,432,70,6,3,1
43,29/07,434,59,454,70,6,3,1
44,Customer,559,59,596,70,6,4,1
45,Contact:,599,59,631,70,6,4,1
46,Customer,17,77,54,88,7,0,1
47,Name,56,77,78,88,7,0,1
48,and,80,77,95,88,7,0,1
49,Address:,97,77,131,88,7,0,1
