,TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
2,Item,50,469,69,483,1,0,1
3,Material,115,469,151,483,1,1,1
4,Description,178,469,228,483,1,2,1
5,Qty,190,481,206,495,2,0,1
6,Price/piece,241,481,291,495,2,1,1
7,Value/EUR,505,481,554,495,2,2,1
8,___________________________________________________________________________________________,50,487,559,501,2,3,1
9,___________,50,493,111,507,2,4,1
10,000010,50,511,83,525,3,0,1
11,255082,115,511,149,525,3,1,1
12,NF250-SV,178,511,225,525,3,2,1
13,3P,228,511,240,525,3,2,1
14,250A,243,511,266,525,3,2,1
15,Circuit,178,527,197,535,4,0,1
16,breaker,199,527,221,535,4,0,1
17,3pole.,223,527,240,535,4,0,1
18,In,242,527,247,535,4,0,1
19,=,249,527,252,535,4,0,1
20,250A;,254,527,270,535,4,0,1
21,Icu,272,527,281,535,4,0,1
22,=,282,527,286,535,4,0,1
23,Ics,287,527,296,535,4,0,1
24,=,298,527,301,535,4,0,1
25,36kA,303,527,317,535,4,0,1
26,at,319,527,324,535,4,0,1
27,AC,326,527,334,535,4,0,1
28,440V,336,527,350,535,4,0,1
29,1,200,535,206,549,5,0,1
30,PC,220,535,234,549,5,1,1
31,208.08,274,535,305,549,5,2,1
32,EUR,307,535,329,549,5,2,1
33,1,345,535,350,549,5,2,1
34,PC,353,535,367,549,5,2,1
35,208.08,521,535,551,549,5,3,1
36,Discount,50,547,89,561,6,0,1
37,60.00-,265,547,294,561,6,1,1
38,%,305,547,314,561,6,2,1
39,124.85-,526,547,560,561,6,4,1
40,Net,50,559,65,573,7,0,1
41,value,68,559,92,573,7,0,1
42,1,95,559,101,573,7,0,1
43,83.23,265,559,290,573,7,1,1
44,EUR,305,559,326,573,7,2,1
45,1,413,559,418,573,7,3,1
46,PC,450,559,463,573,7,4,1
47,83.23,532,559,557,573,7,5,1
48,Commodity,149,571,200,585,8,0,1
49,Code:,203,571,229,585,8,0,1
50,85362010,305,571,350,585,8,1,1
51,Country,149,583,184,597,9,0,1
52,of,187,583,195,597,9,0,1
53,origin:,198,583,225,597,9,0,1
54,Japan,305,583,332,597,9,1,1
55,000030,50,595,83,609,10,0,1
56,267549,115,595,149,609,10,1,1
57,TCL-2SV3L,178,595,231,609,10,2,1
58,Terminal,178,611,203,619,11,0,1
59,cover,205,611,221,619,11,0,1
60,-,223,611,225,619,11,0,1
61,large.,226,611,243,619,11,0,1
62,For,244,611,254,619,11,0,1
63,W105,256,611,271,619,11,0,1
64,3-pole,273,611,291,619,11,0,1
65,up,292,611,300,619,11,0,1
66,to,301,611,307,619,11,0,1
67,250A,309,611,323,619,11,0,1
68,max,325,611,337,619,11,0,1
69,150mm².,338,611,363,619,11,0,1
70,1,200,619,206,633,12,0,1
71,PC,220,619,234,633,12,1,1
72,39.78,279,619,305,633,12,2,1
73,EUR,307,619,329,633,12,2,1
74,1,345,619,350,633,12,2,1
75,PC,353,619,367,633,12,2,1
76,39.78,526,619,551,633,12,3,1
77,Discount,50,631,89,645,13,0,1
78,60.00-,265,631,294,645,13,1,1
79,%,305,631,314,645,13,2,1
80,23.87-,532,631,560,645,13,4,1
81,Net,50,643,65,657,14,0,1
82,value,68,643,92,657,14,0,1
83,1,95,643,101,657,14,0,1
84,15.91,265,643,290,657,14,1,1
85,EUR,305,643,326,657,14,2,1
86,1,413,643,418,657,14,3,1
87,PC,450,643,463,657,14,4,1
88,15.91,532,643,557,657,14,5,1
89,Commodity,149,655,200,669,15,0,1
