,TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
186,Description,271,191,315,202,34,3,1
187,Price,618,191,637,202,34,4,1
188,Per,657,191,670,202,34,5,1
189,Disc,687,191,704,202,34,6,1
190,%,706,191,713,202,34,6,1
191,Total,736,191,755,202,34,7,1
192,Delivery,784,191,816,202,34,8,1
193,From,279,206,299,217,35,0,1
194,1st,302,206,313,217,35,0,1
195,June,315,206,334,217,35,0,1
196,all,336,206,345,217,35,0,1
197,Mitsubishi,348,206,387,217,35,0,1
198,products,389,206,424,217,35,0,1
199,will,426,206,439,217,35,0,1
200,be,441,206,450,217,35,0,1
201,subject,452,206,480,217,35,0,1
202,to,483,206,490,217,35,0,1
203,a,492,206,497,217,35,0,1
204,2.00%,499,206,522,217,35,0,1
205,freight,524,206,549,217,35,0,1
206,levy,551,206,567,217,35,0,1
207,For,279,218,292,229,36,0,1
208,further,295,218,320,229,36,0,1
209,details,323,218,348,229,36,0,1
210,see,350,218,364,229,36,0,1
211,www.bpxireland.ie/page/mitsubishilevy,366,218,515,229,36,0,1
212,2,30,231,34,242,37,0,1
213,13975,53,231,75,242,37,1,1
214,SCHNEIDER,271,231,318,242,37,2,1
215,KAEDRA,320,231,353,242,37,2,1
216,3,355,231,360,242,37,2,1
217,MODULE,362,231,396,242,37,2,1
218,ENCLOSURE,399,231,448,242,37,2,1
219,8.01,627,231,643,242,37,3,1
220,Each,661,231,679,242,37,4,1
221,30.00,695,231,715,242,37,5,1
222,11.21,750,231,770,242,37,6,1
223,4,782,231,786,242,37,7,1
224,-,788,231,791,242,37,7,1
225,5,793,231,798,242,37,7,1
226,Days,800,231,818,242,37,7,1
227,2,30,243,34,254,38,0,1
228,13441,53,243,75,254,38,1,1
229,SCHNEIDER,271,243,318,254,38,2,1
230,-,320,243,323,254,38,2,1
231,KAEDRA,325,243,358,254,38,2,1
232,4,360,243,365,254,38,2,1
233,MOD,367,243,386,254,38,2,1
234,INS,388,243,401,254,38,2,1
235,ENCLOSURE,403,243,453,254,38,2,1
236,(PREVIOUS,455,243,499,254,38,2,1
237,16.96,623,243,643,254,38,3,1
238,Each,661,243,679,254,38,4,1
239,30.00,695,243,715,254,38,5,1
240,23.74,750,243,770,254,38,6,1
241,4,782,243,786,254,38,7,1
242,-,788,243,791,254,38,7,1
243,5,793,243,798,254,38,7,1
244,Days,800,243,818,254,38,7,1
245,NO.,271,255,285,266,39,0,1
246,SAREL,287,255,314,266,39,0,1
247,-,316,255,319,266,39,0,1
248,ENN82002),321,255,363,266,39,0,1
249,2,30,268,34,279,40,0,1
250,13442,53,268,75,279,40,1,1
251,SCHNEIDER,271,268,318,279,40,2,1
252,KAEDRA,320,268,353,279,40,2,1
253,6,355,268,360,279,40,2,1
254,MOD,362,268,381,279,40,2,1
255,INS,383,268,396,279,40,2,1
256,ENCLOSURE,399,268,448,279,40,2,1
257,(PREVIOUS,451,268,495,279,40,2,1
258,NO.,497,268,511,279,40,2,1
259,25.04,623,268,643,279,40,3,1
260,Each,661,268,679,279,40,4,1
261,30.00,695,268,715,279,40,5,1
262,35.06,750,268,770,279,40,6,1
263,4,782,268,786,279,40,7,1
264,-,788,268,791,279,40,7,1
265,5,793,268,798,279,40,7,1
266,Days,800,268,818,279,40,7,1
267,SAREL,271,280,297,291,41,0,1
268,ENN82003),299,280,341,291,41,0,1
269,2,30,293,34,304,42,0,1
270,13443,53,293,75,304,42,1,1
271,SCHNEIDER,271,293,318,304,42,2,1
272,KAEDRA,320,293,353,304,42,2,1
273,8,355,293,360,304,42,2,1
274,MODULE,362,293,396,304,42,2,1
275,ENCLOSURE,399,293,448,304,42,2,1
276,32.17,623,293,643,304,42,3,1
277,Each,661,293,679,304,42,4,1
278,30.00,695,293,715,304,42,5,1
279,45.04,750,293,770,304,42,6,1
280,4,782,293,786,304,42,7,1
281,-,788,293,791,304,42,7,1
282,5,793,293,798,304,42,7,1
283,Days,800,293,818,304,42,7,1
284,2,30,305,34,316,43,0,1
285,13444,53,305,75,316,43,1,1
286,SCHNEIDER,271,305,318,316,43,2,1
287,Kaedra,320,305,346,316,43,2,1
288,12,348,305,357,316,43,2,1
289,Mod,359,305,375,316,43,2,1
290,Ins,377,305,388,316,43,2,1
291,Enclosure,390,305,426,316,43,2,1
292,IP65,428,305,444,316,43,2,1
293,38.10,623,305,643,316,43,3,1
294,Each,661,305,679,316,43,4,1
295,30.00,695,305,715,316,43,5,1
